"","Variable","Female","Male","Missing"
"1","","N = 2,477","N = 2,522","N = 10"
"2","Maternal Education","","",""
"3","CSE/O-level/Vocational","1,167 (47%)","1,239 (49%)","0 (0%)"
"4","A-level/Degree","1,012 (41%)","1,022 (41%)","0 (0%)"
"5","Missing","298 (12%)","261 (10%)","10 (100%)"
"6","BMI (age 9 years)","17.80 (2.91)","17.36 (2.60)","18.11 (2.05)"
"7","Missing","35","19","0"
"8","IL-6 (age 9 years)","1.35 (1.50)","1.11 (1.39)","1.51 (0.95)"
"9","Total Depressive Episodes","","",""
"10","0","1,169 (47%)","1,720 (68%)","5 (50%)"
"11","1","504 (20%)","403 (16%)","1 (10%)"
"12","2","283 (11%)","158 (6.3%)","2 (20%)"
"13","3","178 (7.2%)","71 (2.8%)","0 (0%)"
"14","4","125 (5.0%)","30 (1.2%)","1 (10%)"
"15","5","77 (3.1%)","20 (0.8%)","0 (0%)"
"16","6","42 (1.7%)","9 (0.4%)","0 (0%)"
"17","7","21 (0.8%)","<5 (0.2%)","0 (0%)"
"18","8","11 (0.4%)","<5 (<0.1%)","0 (0%)"
"19","9","8 (0.3%)","<5 (0%)","0 (0%)"
"20","10","<5 (<0.1%)","<5 (0%)","0 (0%)"
"21","Missing","58 (2.3%)","106 (4.2%)","1 (10%)"
"22","Total PEs","","",""
"23","0","1,987 (80%)","2,076 (82%)","8 (80%)"
"24","1","284 (11%)","200 (7.9%)","1 (10%)"
"25","2","77 (3.1%)","47 (1.9%)","0 (0%)"
"26","3","26 (1.0%)","9 (0.4%)","0 (0%)"
"27","4","7 (0.3%)","<5 (0.2%)","0 (0%)"
"28","5","9 (0.4%)","<5 (0%)","0 (0%)"
"29","6","<5 (0.1%)","<5 (<0.1%)","0 (0%)"
"30","7","<5 (<0.1%)","<5 (0%)","0 (0%)"
"31","Missing","82 (3.3%)","185 (7.3%)","1 (10%)"
"32","n (%); Mean (SD)","","",""
