"Variable","Female","Male","Missing"
"","N = 3,825","N = 4,022","N = 15"
"Maternal Education","","",""
"CSE/O-level/Vocational","1,854 (48%)","2,002 (50%)","0 (0%)"
"A-level/Degree","1,433 (37%)","1,449 (36%)","0 (0%)"
"Missing","538 (14%)","571 (14%)","15 (100%)"
"CRP PRS","0.0000 (0.0000)","0.0000 (0.0000)","0.0000 (0.0000)"
"IL-6 PRS","0.0000 (0.0000)","0.0000 (0.0000)","0.0000 (0.0000)"
"Total Depressive Episodes","","",""
"0","1,610 (42%)","2,189 (54%)","6 (40%)"
"1","683 (18%)","534 (13%)","1 (6.7%)"
"2","345 (9.0%)","184 (4.6%)","3 (20%)"
"3","252 (6.6%)","97 (2.4%)","0 (0%)"
"4","165 (4.3%)","43 (1.1%)","1 (6.7%)"
"5","98 (2.6%)","32 (0.8%)","0 (0%)"
"6","59 (1.5%)","11 (0.3%)","0 (0%)"
"7","32 (0.8%)","6 (0.1%)","0 (0%)"
"8","20 (0.5%)","<5 (0%)","0 (0%)"
"9","8 (0.2%)","<5 (<0.1%)","0 (0%)"
"10","<5 (<0.1%)","<5 (0%)","0 (0%)"
"Missing","550 (14%)","925 (23%)","4 (27%)"
"Total PEs","","",""
"0","2,738 (72%)","2,738 (68%)","10 (67%)"
"1","395 (10%)","270 (6.7%)","1 (6.7%)"
"2","109 (2.8%)","64 (1.6%)","0 (0%)"
"3","37 (1.0%)","16 (0.4%)","0 (0%)"
"4","8 (0.2%)","<5 (<0.1%)","0 (0%)"
"5","12 (0.3%)","<5 (<0.1%)","0 (0%)"
"6","5 (0.1%)","<5 (<0.1%)","0 (0%)"
"7","<5 (<0.1%)","<5 (0%)","0 (0%)"
"Missing","519 (14%)","927 (23%)","4 (27%)"
"n (%); Mean (SD)","","",""
