"Sex","Exposure","Outcome","Covariates","Sample_Size","Standardised.Beta","CI_lower","CI_upper","SE","P.value","P_FDR_corrected","Significant_covariates"
"MALE","log(IL-6)","Depression episodes","Fully Adjusted",2157,0.0830107202319601,-0.00343310025215484,0.170448180891654,0.0439227325968053,0.0587678397077669,0.354659718080496,NA
"MALE","log(CRP)","Depression episodes","Fully Adjusted",2165,-0.0980277479255005,-0.205105553260687,0.00798255277025102,0.0539927079759143,0.0694357701712492,0.354659718080496,NA
"FEMALE","log(IL-6)","Depression episodes","Fully Adjusted",2107,0.0556038313458119,-0.00715772948685389,0.118970863588934,0.0318644824338437,0.0809831782514973,0.354659718080496,NA
"FEMALE","log(CRP)","Depression episodes","Fully Adjusted",2109,0.00991051342008396,-0.0520527803206219,0.0726043014465699,0.0324594463250676,0.760122555936704,0.810797392999151,NA
"MALE","DNAm IL-6 score (birth)","Depression episodes","Fully Adjusted (with cell estimates)",416,-0.0756871447900723,-0.315603654408667,0.163274330107682,0.118664658237731,0.523588376480097,0.645358438716996,"PC6_0"
"MALE","DNAm CRP score (birth)","Depression episodes","Fully Adjusted (with cell estimates)",416,0.0659797043534661,-0.144062320395178,0.276531639166733,0.103635976981694,0.524353731457559,0.645358438716996,"PC6_0"
"FEMALE","DNAm IL-6 score (birth)","Depression episodes","Fully Adjusted (with cell estimates)",413,-0.11694840969063,-0.308444131831115,0.0740295649524393,0.0992211995847139,0.238532181940358,0.424057212338414,"Bcell_birth; CD4T_birth; PC7_0"
"FEMALE","DNAm CRP score (birth)","Depression episodes","Fully Adjusted (with cell estimates)",413,0.10599548918641,-0.0495912598645426,0.262364450635806,0.0767729976100785,0.167391209623114,0.401667842108185," "
"MALE","DNAm IL-6 score (7 years)","Depression episodes","Fully Adjusted (with cell estimates)",414,0.207506099827649,-0.0502799193692968,0.469001315208918,0.130141242815481,0.110831161900155,0.354659718080496," "
"MALE","DNAm CRP score (7 years)","Depression episodes","Fully Adjusted (with cell estimates)",414,0.00155781053715635,-0.184097963152178,0.187183735638804,0.0934155790238561,0.986694988329097,0.986694988329097," "
"FEMALE","DNAm IL-6 score (7 years)","Depression episodes","Fully Adjusted (with cell estimates)",412,-0.141593110307891,-0.37389985523254,0.0901156264909704,0.117485147561287,0.228126068008715,0.424057212338414," "
"FEMALE","DNAm CRP score (7 years)","Depression episodes","Fully Adjusted (with cell estimates)",412,0.14339109060843,-0.0296727865353389,0.317682571301938,0.0870339193253079,0.0994489250620241,0.354659718080496," "
"MALE","CRP PRS (SBayesR)","Depression episodes","Fully Adjusted",2771,-0.0323722187344564,-0.10898679287358,0.0441475800111568,0.0394768278073493,0.41219849072618,0.645358438716996,"Maternal.education.at.birth1"
"FEMALE","CRP PRS (SBayesR)","Depression episodes","Fully Adjusted",2888,0.0364970644811876,-0.0169247476244539,0.0899824655318871,0.026954578049025,0.175729680922331,0.401667842108185,"pc3"
"MALE","IL-6 PRS (SBayesR)","Depression episodes","Fully Adjusted",2771,-0.012446725977059,-0.0893570420950493,0.0644487874661605,0.038350888880929,0.745522760181347,0.810797392999151,"Maternal.education.at.birth1"
"FEMALE","IL-6 PRS (SBayesR)","Depression episodes","Fully Adjusted",2888,0.0191552997187705,-0.0350910363314432,0.0734297692050564,0.0277884648959025,0.490618403169826,0.645358438716996,"pc3"
